id,teamid,team,season,age,pts
2544,1610612739,CLE,2003-04,19.0,1654
2544,1610612739,CLE,2004-05,20.0,2175
2544,1610612739,CLE,2005-06,21.0,2478
2544,1610612739,CLE,2006-07,22.0,2132
2544,1610612739,CLE,2007-08,23.0,2250
2544,1610612739,CLE,2008-09,24.0,2304
2544,1610612739,CLE,2009-10,25.0,2258
2544,1610612748,MIA,2010-11,26.0,2111
2544,1610612748,MIA,2011-12,27.0,1683
2544,1610612748,MIA,2012-13,28.0,2036
2544,1610612748,MIA,2013-14,29.0,2089
2544,1610612739,CLE,2014-15,30.0,1743
2544,1610612739,CLE,2015-16,31.0,1920
2544,1610612739,CLE,2016-17,32.0,1954
2544,1610612739,CLE,2017-18,33.0,2251
2544,1610612747,LAL,2018-19,34.0,1505
2544,1610612747,LAL,2019-20,35.0,1698
2544,1610612747,LAL,2020-21,36.0,1126
2544,1610612747,LAL,2021-22,37.0,1695
2544,1610612747,LAL,2022-23,38.0,1590
2544,1610612747,LAL,2023-24,39.0,1573
977,1610612747,LAL,1996-97,18.0,539
977,1610612747,LAL,1997-98,19.0,1220
977,1610612747,LAL,1998-99,20.0,996
977,1610612747,LAL,1999-00,21.0,1485
977,1610612747,LAL,2000-01,22.0,1938
977,1610612747,LAL,2001-02,23.0,2019
977,1610612747,LAL,2002-03,24.0,2461
977,1610612747,LAL,2003-04,25.0,1557
977,1610612747,LAL,2004-05,26.0,1819
977,1610612747,LAL,2005-06,27.0,2832
977,1610612747,LAL,2006-07,28.0,2430
977,1610612747,LAL,2007-08,29.0,2323
977,1610612747,LAL,2008-09,30.0,2201
977,1610612747,LAL,2009-10,31.0,1970
977,1610612747,LAL,2010-11,32.0,2078
977,1610612747,LAL,2011-12,33.0,1616
977,1610612747,LAL,2012-13,34.0,2133
977,1610612747,LAL,2013-14,35.0,83
977,1610612747,LAL,2014-15,36.0,782
977,1610612747,LAL,2015-16,37.0,1161
893,1610612741,CHI,1984-85,22.0,2313
893,1610612741,CHI,1985-86,23.0,408
893,1610612741,CHI,1986-87,24.0,3041
893,1610612741,CHI,1987-88,25.0,2868
893,1610612741,CHI,1988-89,26.0,2633
893,1610612741,CHI,1989-90,27.0,2753
893,1610612741,CHI,1990-91,28.0,2580
893,1610612741,CHI,1991-92,29.0,2404
893,1610612741,CHI,1992-93,30.0,2541
893,1610612741,CHI,1994-95,32.0,457
893,1610612741,CHI,1995-96,33.0,2491
893,1610612741,CHI,1996-97,34.0,2431
893,1610612741,CHI,1997-98,35.0,2357
893,1610612764,WAS,2001-02,39.0,1375
893,1610612764,WAS,2002-03,40.0,1640
1628973,1610612742,DAL,2018-19,22.0,678
1628973,1610612742,DAL,2019-20,23.0,466
1628973,1610612742,DAL,2020-21,24.0,857
1628973,1610612742,DAL,2021-22,25.0,1285
1628973,1610612752,NYK,2022-23,26.0,1633
1628973,1610612752,NYK,2023-24,27.0,1780
